word,frequency,tfidf_score
bi,375,0.005994
báwo,132,0.002109
bí,6953,0.111121
bẹ́ẹ̀,1626,0.025987
di,2000,0.031965
fi,7249,0.115852
fun,148,0.002365
fún,12332,0.197090
igba,40,0.000639
jẹ́,5112,0.081701
kan,2960,0.047306
ki,163,0.002604
ko,73,0.001167
kì,1586,0.025351
kí,8160,0.130415
kò,5911,0.094471
kó,839,0.013408
le,969,0.015489
lo,127,0.002030
láti,6580,0.105157
láìsí,81,0.001295
lè,1616,0.025829
ló,200,0.003197
lórí,1530,0.024453
lọ,4255,0.068003
mi,6203,0.099142
mo,2936,0.046923
máa,2422,0.038708
ni,13718,0.219241
náà,8701,0.139058
ní,15312,0.244714
níbo,94,0.001503
nínú,4626,0.073928
nípa,1378,0.022024
pe,556,0.008886
pé,9261,0.148012
púpọ̀,399,0.006377
pẹ̀lú,3719,0.059436
rara,69,0.001103
rárá,85,0.001359
rẹ,4703,0.075164
rẹ̀,11058,0.176731
se,15,0.000240
si,437,0.006984
sì,23845,0.381090
sí,10021,0.160153
ti,11309,0.180743
tirẹ̀,203,0.003245
tiwọn,117,0.001869
torí,132,0.002109
tàbí,1382,0.022086
tèmi,105,0.001679
tí,23611,0.377346
un,2005,0.032045
wa,2184,0.034906
wà,3157,0.050453
wá,4487,0.071717
wọn,10581,0.169105
wọ́n,7924,0.126640
yìí,2438,0.038963
yóò,10123,0.161786
àti,12043,0.192469
àwa,1258,0.020106
àwọn,19203,0.306898
èmi,4636,0.074096
èyí,2592,0.041424
ìgbà,964,0.015405
ìwọ,4064,0.064953
òun,1551,0.024789
ún,131,0.002094
ṣe,8869,0.141744
ẹyin,33,0.000527
